main_category,product_rows,unique_products,avg_rating,median_rating,total_rating_count,avg_discount_pct,median_discount_pct,avg_review_length_chars,estimated_revenue_proxy,high_proxy_revenue_low_rating_products,estimated_revenue_proxy_share
Electronics,526,490,4.081749049429658,4.1,15778848.0,50.82889733840304,54.0,1815.2281368821293,59179753425.0,31,0.8228578361839328
Computers&Accessories,453,375,4.154966887417219,4.2,7728689.0,54.0242825607064,58.0,1229.6887417218543,6354568947.47,5,0.0883563474224931
Home&Kitchen,448,448,4.040715883668904,4.1,2991069.0,40.120535714285715,41.5,1082.220982142857,6264336175.8,13,0.08710171659096466
MusicalInstruments,2,2,3.9,3.9,88882.0,46.0,46.0,5118.5,64458076.0,0,0.0008962496440468988
OfficeProducts,31,31,4.309677419354839,4.3,149675.0,12.35483870967742,5.0,950.6774193548387,45786730.0,0,0.0006366361364023875
Health&PersonalCare,1,1,4.0,4.0,3663.0,53.0,53.0,1843.0,3293037.0,0,4.578764093242975e-05
Car&Motorbike,1,1,3.8,3.8,1118.0,42.0,42.0,1069.0,2615002.0,0,3.6359983994587866e-05
HomeImprovement,2,2,4.25,4.25,8566.0,57.5,57.5,1048.5,2587190.0,0,3.597327535158971e-05
Toys&Games,1,1,4.3,4.3,15867.0,0.0,0.0,1001.0,2380050.0,0,3.309312188148187e-05
