rating_band,review_length_bucket,product_rows,avg_review_length_chars,avg_rating_count
<=3.0,0-250,1,227.0,2.0
<=3.0,251-500,2,357.0,13.0
<=3.0,501-1000,5,635.2,210.8
<=3.0,1001-2000,2,1302.0,363.0
<=3.0,2000+,0,,
3.1-3.5,0-250,2,166.0,57.5
3.1-3.5,251-500,14,376.35714285714283,2449.6428571428573
3.1-3.5,501-1000,21,734.047619047619,7609.619047619048
3.1-3.5,1001-2000,15,1145.7333333333333,4342.266666666666
3.1-3.5,2000+,6,3046.3333333333335,7415.666666666667
3.6-4.0,0-250,29,201.3793103448276,14439.862068965518
3.6-4.0,251-500,122,384.7295081967213,7283.6557377049185
3.6-4.0,501-1000,169,715.9940828402367,7436.94674556213
3.6-4.0,1001-2000,98,1305.3469387755101,14775.19387755102
3.6-4.0,2000+,49,4350.081632653061,29729.163265306124
4.1-4.5,0-250,31,189.38709677419354,14533.58064516129
4.1-4.5,251-500,152,397.3092105263158,16997.348684210527
4.1-4.5,501-1000,317,719.2618296529969,22961.611987381704
4.1-4.5,1001-2000,230,1370.1391304347826,24518.46956521739
4.1-4.5,2000+,170,4773.017647058824,28476.511764705883
4.6-5.0,0-250,3,142.66666666666666,26904.0
4.6-5.0,251-500,4,369.25,1524.25
4.6-5.0,501-1000,7,691.0,7137.142857142857
4.6-5.0,1001-2000,9,1235.4444444444443,3935.1111111111113
4.6-5.0,2000+,6,3897.1666666666665,8723.5
