main_category,product_rows,unique_products,avg_rating,total_rating_count,median_discount_pct,estimated_revenue_proxy
Electronics,526,490,4.081749049429658,15778848,54.0,59179753425.0
Computers&Accessories,453,375,4.154966887417219,7728689,58.0,6354568947.47
Home&Kitchen,448,448,4.040715883668904,2991069,41.5,6264336175.8
MusicalInstruments,2,2,3.9,88882,46.0,64458076.0
OfficeProducts,31,31,4.309677419354839,149675,5.0,45786730.0
Health&PersonalCare,1,1,4.0,3663,53.0,3293037.0
Car&Motorbike,1,1,3.8,1118,42.0,2615002.0
HomeImprovement,2,2,4.25,8566,57.5,2587190.0
Toys&Games,1,1,4.3,15867,0.0,2380050.0
